MAGE                                                	 CREATED       
 3rdpartyauthconnector:master                         	 2 days ago    
 dialerapi:master                                     	 3 days ago    
 dynamicconfigurationgenerator:lolc_campaign_release  	 3 days ago    
 dashboardservice:lolc_campaign_release               	 12 days ago   
 cdrengine:lolc_campaign_release                      	 13 days ago   
 abandonedcalldialer:lolc_campaign_release            	 13 days ago   
 resourceservice:lolc_campaign_release                	 13 days ago   
 eventmonitor:lolc_campaign_release                   	 13 days ago   
 liteticket:lolc_campaign_release                     	 13 days ago   
 notificationservice:lolc_campaign_release            	 13 days ago   
 ruleservice:lolc_campaign_release                    	 13 days ago   
 campaignmanager:lolc_campaign_release                	 13 days ago   
 ipmessagingservice:lolc_campaign_releasev2           	 2 weeks ago   
 interactions:lolc_campaign_release                   	 2 weeks ago   
 sipuserendpointservice:lolc_campaign_release         	 2 weeks ago   
 contactbasednumberdialingservice:development         	 3 weeks ago   
 scheduleworker:lolc_campaign_release                 	 6 weeks ago   
 scheduletaskworker:lolc_campaign_release             	 6 weeks ago   
 clusterconfig:lolc_campaign_release                  	 7 weeks ago   
 articleservice:lolc_campaign_release                 	 2 months ago  
 ardsliteservice:lolc_new_release_v2                  	 2 months ago  
 fileservice:lolc_new_release_v2                      	 2 months ago  
 userservice:lolc_campaign_release_v2                 	 2 months ago  
 httpprogrammingapi:lolc_campaign_release_v2          	 2 months ago  
 mailsender:lolc_campaign_release_v2                  	 2 months ago  
 monitorrestapi:lolc_campaign_release_v2              	 2 months ago  
 smppclient:lolc_campaign_release                     	 2 months ago  
 cdrprocessor:lolc_campaign_release                   	 2 months ago  
 cdreventlistner:lolc_campaign_release                	 2 months ago  
 callbackservice:lolc_campaign_release                	 2 months ago  
 ardsmonitoring:lolc_campaign_release                 	 2 months ago  
	
 ardsliteroutingengine:master                         	 7 months ago  
 agentdialerservice:lolc-temp                         	 13 months ago 
 billingservice:development                           	 14 months ago 
 reportqueryfilters:development                       	 15 months ago 
 autoattendant:development                            	 15 months ago 
 queuemusic:development                               	 15 months ago 
 contacts:Development                                 	 15 months ago 
 csatservice:Development                              	 15 months ago 
 qamodule:Development                                 	 15 months ago 
 integrationapi:Development                           	 15 months ago 
 walletservice:Development                            	 15 months ago 
 todolistservice:Development                          	 15 months ago 
 socialconnector:Development                          	 15 months ago 
 mailreceiver:Development                             	 15 months ago 
 eventservice:Development                             	 15 months ago 
 appregistry:Development                              	 15 months ago 
 templates:Development                                	 15 months ago 
 conference:Development                               	 15 months ago 
 pbxservice:Development                               	 15 months ago 
 limithandler:Development                             	 15 months ago 
 phonenumbertrunkservice:Development                  	 15 months ago 
 eventsink:Development                                	 15 months ago 
 dashboarddataprocessor:master                        	 15 months ago 

